编号,搜索关键词,内容链接,笔记标题,作者类型,发布时间,高赞评论摘录,评论内赞量,评论内互动量,二创潜力,二创方向,品牌能否自然下场,一句话洞察
1,春节,"春节三次上门喂猫，猫都是同一个姿势 她是怎么做到的 http://xhslink.com/o/1UNEidWbdNx 
把文字复制下来，打开【小红书】查看详情。",,,,确实很吓人啊[笑哭R]。想象一下你小时候妈妈突然消失好几天，只能自己一个人在家。结果有个陌生人进你家假装是你妈给你烧饭[笑哭R],9.9w,"3000评论
5.2w赞",,,,
,,,,,,之前去喂笑死我 两天不一样【带图】,4.8w,"2.5w赞
3000评论",,,,
,,,,,,评论区秀猫中..,,//,,,,
2,"春节
#春节模仿大赛","往生极乐 @笑薯 http://xhslink.com/o/6CvBWhw1C0g 
先复制这段口令，再去【小红书】打开笔记~",,,,朝闻道夕死可矣,6.8w,"1500评论
3.4w赞",,,,
,,,,,,小心走马灯又看一遍,1.9w,,,,,
3,春节,"当春节的父母和你在同一战线上能有多爽！ http://xhslink.com/o/AfwwOkWHTMl 
复制这段文字，打开【小红书】一键直达笔记。",,,,感谢妈妈是颜控[红色心形R],1.1w,,,,,
4,春节,"已经开始在被窝里计划怎么过年了🧨 http://xhslink.com/o/2JymiX436Q1 
把这段复制好，然后去【小红书】就能看笔记。",,,,我的天。。我一直都觉得我想要的不是大富大贵，但是我说不上来我想要的是什么。我想要的就是像视频里这样的生活[泪崩R][泪崩R][泪崩R]无拘无束，自由自在，可以自己决定自己想去哪里，想干什么。自己安排自己的房子，一个人高高兴兴的。然后再猫狗双全[泪崩R],2.4w,,,,,
,,,,,,看的居然很感动…！！！希望像博主一样自在丰盈！滴滴专车牛啊！！太懂大家了,1.1w,,,,,
5,春节,"走人户好恼火 http://xhslink.com/o/2XtI88RImi 
留住这段口令，去【小红书】瞅瞅笔记~",,,,姐虽然没做美甲但是有种美甲做得特别长的感觉,9000,,,,,
,,,,,,不是我快笑的想死了，前一个还没笑完下一个就像大运一样撞上来了,,,,,,
6,春节,"留守猫咪春节自救全指南（人教版） http://xhslink.com/o/2VRTfy0w2B9 
复制文字→打开【小红书】→立即查看笔记详情。",,,,没猫的人看的津津有味【图片】,3.5w,,,,,
,,,,,,养了猫才知道，为什么孩子能栓住娘了【图片】,2.3w,,,,,
7,春节,"该怎么当一个令她满意的大人呢？ 希望在这个新年能给... http://xhslink.com/o/4pvfPBNKH8r 
复制这段，去【小红书】发现更多好内容~",,,,东亚母女的恨海情天,8.7w,,,,,
,,,,,,爱也爱不彻底，恨也恨不彻底。就这样煎熬到一个人死去，直到回忆加上滤镜，直到脸连同那些爱和恨都记不清楚。,3.5w,,,,,
,,,,,,《妈妈，我最心疼你，可你也觉得我好欺负》,3w,,,,,
,,"这将是你最难忘的一个春节！ @VLOG薯 http://xhslink.com/o/9m4BDtqrZna 
进入【小红书】探索笔记详情~",,,,,,,,,,
,,"当我问姥爷，春节要不要去男方家过年 http://xhslink.com/o/5ODJp6hpqG8 
复制这段文字，打开【小红书】一键直达笔记。",,,,你别说，爷爷/姥爷这说去居委会问问真不失为一个好方法诶[哇R]了解一下风评,,,,,,
,,"过年我就这样刻薄的面对亲戚 http://xhslink.com/o/5FzVLjEJs56 
快戳【小红书】瞧瞧这篇笔记！",,,,怎么说服拍的？,10w+,给钱,10w+,,,
